2026-08-02 11:57:06 | INFO     | MantraAI | Wake word detector stopped.
2026-08-02 11:57:06 | INFO     | MantraAI | Speaking: 'Goodbye! Mantra is shutting down.'
2026-08-02 11:57:10 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-02 11:57:10 | INFO     | MantraAI.main | MantraAI shutdown complete.
2026-08-02 11:57:24 | INFO     | MantraAI | TTS voice set to: Microsoft Hazel Desktop - English (Great Britain)
2026-08-02 11:57:24 | INFO     | MantraAI | TextToSpeech initialised.
2026-08-02 11:57:25 | INFO     | MantraAI | SpeechToText initialised.
2026-08-02 11:57:25 | INFO     | MantraAI | Speaking: 'Hello! I'm Mantra, version 1.0. Please wait while I calibrate my microphone.'
2026-08-02 11:57:33 | INFO     | MantraAI | Calibrating microphone for ambient noise…
2026-08-02 11:57:35 | INFO     | MantraAI | Calibration complete.
